,Diff_0_to_1,Diff_1_to_2,Diff_2_to_3,Diff_3_to_4,Diff_4_to_5,Diff_5_to_6
count,16.0,16.0,16.0,16.0,16.0,16.0
mean,0.17269762569189698,0.0320648845255363,0.045800622636137385,0.03335662590937118,0.07013099408985024,0.06568729659402342
std,0.047772087085261004,0.030062449471405545,0.04472129615736169,0.029417537533998256,0.04501626490139389,0.035766715300511
min,0.07711246779013137,0.005945253474664791,0.0013372184685924715,0.0017914047947987788,0.00433116245803733,0.014397862068282974
25%,0.15434669809372292,0.014615314571572058,0.00877776239345407,0.012510106041108138,0.03807569249762255,0.037664688108248634
50%,0.18613527985117762,0.018735572566593528,0.026777495029126408,0.021023250426236206,0.06772511049407842,0.05934106766929387
75%,0.20263862088918339,0.04483638839898335,0.07029995577340842,0.04613143306639983,0.09103069351753051,0.09236969120790117
max,0.24095397263232587,0.09875911430981421,0.13776631303025988,0.09899302002648258,0.15061480422885676,0.12577494739746742
