,Diff_0_to_1,Diff_1_to_2,Diff_2_to_3,Diff_3_to_4,Diff_4_to_5,Diff_5_to_6
count,32.0,32.0,32.0,32.0,32.0,32.0
mean,0.2023472579202784,0.03806737747842699,0.037876972259678024,0.025757492570122487,0.05644062665442262,0.05220640332211489
std,0.06260741533877963,0.028867784909364244,0.03484760716784924,0.024081518839156636,0.040253487024155585,0.03599770600314137
min,0.07711246779013137,0.0038734581667080326,0.0,0.0,0.0017698817933112787,0.0
25%,0.17347099302440158,0.016461831748292993,0.013236146189984338,0.008580297318639296,0.02469620551255386,0.02617572742981783
50%,0.20207380017544008,0.026688193443545227,0.027169033657261588,0.018643985797230755,0.05660057910966321,0.04498664173776373
75%,0.2500563419186709,0.06228938396029826,0.05434045694131287,0.038493896655366816,0.07863287439335684,0.0820319993932381
max,0.31983466314183484,0.09875911430981421,0.13776631303025988,0.09899302002648258,0.15061480422885676,0.12577494739746742
