,ID,SHAP or GradCAM,SSIM_0_to_0,SSIM_0_to_1,SSIM_0_to_2,SSIM_0_to_3,SSIM_0_to_4,SSIM_0_to_5,SSIM_0_to_6
0,13,Grad,1,0.8492410987523852,0.782699968164063,0.819582293238137,0.8007071957963862,0.8322765749334758,0.8580326760322219
1,13,Shap,1,0.9228875322098686,0.9066551221889835,0.8941493760359157,0.8481004806993266,0.7738295930144768,0.8345271789127147
2,17,Grad,1,0.698002570677167,0.7547195472937352,0.7547195472937352,0.7306213078160958,0.6972222849917428,0.7547195472937352
3,17,Shap,1,0.8064143216066304,0.7673196920721451,0.8696884987605533,0.8233094525047212,0.8324807664458157,0.7922867438483603
4,18,Grad,1,0.7146734917754223,0.6907877065870915,0.7146734917754223,0.7146734917754223,0.7221693084295726,0.7146734917754223
5,18,Shap,1,0.7975527384659806,0.860525279329741,0.8865491684489154,0.8883405732437142,0.7484079765481956,0.7628058386164785
6,1,Grad,1,0.8461358235475582,0.8153341162460251,0.7996722999627643,0.7910618739681509,0.7928317557614621,0.8202844402266107
7,1,Shap,1,0.8241669814640956,0.8301122349387604,0.8205098606710094,0.8443492524126414,0.7783373432859504,0.7955714673506753
8,200,Grad,1,0.7592646506369568,0.7354023415308362,0.7530377930241091,0.774439852836851,0.7573506240379715,0.784049476936097
9,200,Shap,1,0.759046027367674,0.7524210609958795,0.6882032881478065,0.7743568840694995,0.7049185722080337,0.7629031216483836
10,204,Grad,1,0.9125899222017793,0.8541912895331771,0.798962947276929,0.8076717861674216,0.8856308292746264,0.8856308292746264
11,204,Shap,1,0.8336150835101068,0.8415037757242934,0.8690348766633718,0.8526960517703653,0.7604108421463603,0.847625504744292
12,210,Grad,1,0.7455552150325868,0.6726164126894345,0.7068703190469382,0.6623994603187888,0.7430538285706018,0.7836419402731679
13,210,Shap,1,0.7982996611831392,0.7816979328433291,0.9014980210542127,0.8025050010277303,0.798173838569693,0.8525074968352961
14,212,Grad,1,0.7502598820186619,0.7062850386988233,0.7603295338684911,0.7617490437270933,0.7523622532978053,0.7804720663800835
15,212,Shap,1,0.814262974732107,0.7977246690746781,0.7914677752608202,0.7855433022694251,0.7459868309261478,0.7693196971267622
16,217,Grad,1,0.6801653368581652,0.7634808954091938,0.6924847418762872,0.7129319702144119,0.7993769210580728,0.7993769210580728
17,217,Shap,1,0.8134664655655377,0.8318627285739869,0.8381666553445501,0.7698567372788079,0.7057665397397032,0.8126434276731739
18,219,Grad,1,0.7413351821169021,0.7118445804181424,0.7487033702343726,0.7048811945822322,0.7609577177665461,0.7858523256177337
19,219,Shap,1,0.7811350359917042,0.8039986968898345,0.80128239552077,0.8122030855967025,0.6615882813678458,0.7613671742464941
20,21,Grad,1,0.8030926738653561,0.8069661320320641,0.7933253357564138,0.7849256919298706,0.759979670402083,0.8610925114820415
21,21,Shap,1,0.8161306229584557,0.8354694530556324,0.8097122590562866,0.7915051499454462,0.7177634396903035,0.7980678846819771
22,223,Grad,1,0.7244656208848899,0.7844676561190365,0.7891121340923118,0.7514571480815248,0.7754039055483771,0.8065402461572571
23,223,Shap,1,0.8817679570947878,0.86269307497005,0.9052858174238947,0.8710335986398894,0.8418187068440595,0.8718953914846878
24,226,Grad,1,0.7489949862693309,0.8286221068959326,0.7943754769652314,0.8200973751841995,0.8023065040224242,0.8286221068959326
25,226,Shap,1,0.9097564898619278,0.919520518085561,0.9181832996169683,0.9101875393900191,0.8195750179079802,0.9453499653054475
26,6,Grad,1,0.8036048988184439,0.7994047175711008,0.8403923191070761,0.8403923191070761,0.7832676840720636,0.8403923191070761
27,6,Shap,1,0.7930883809045711,0.8839695631817173,0.824486473684899,0.8389876000579997,0.8053542440973415,0.8547394158703028
28,72,Grad,1,0.714137107953583,0.6508998230583476,0.6777067894337924,0.6592939152810817,0.7409961184248702,0.7938754582108221
29,72,Shap,1,0.7967873010453246,0.8955464153551388,0.7577801023248789,0.798790730913985,0.7564778666024978,0.84637782392015
30,80,Grad,1,0.7965312962122537,0.8007827955610459,0.7873031826920894,0.7788132714013727,0.7021646172567332,0.8147107686225287
31,80,Shap,1,0.8884604149677373,0.8263987499752597,0.9149452545246746,0.9019053431618413,0.7590276460322951,0.8725380734709678
