,SSIM_5_to_5,SSIM_5_to_8,SSIM_5_to_11
count,200.0,200.0,200.0
mean,1.0,0.7892573603169127,0.816282394955798
std,0.0,0.04704931263165913,0.0614719515272435
min,1.0,0.6565915097673451,0.6666779555817223
25%,1.0,0.755136785163482,0.7680156944923653
50%,1.0,0.786085557672374,0.8118943536533388
75%,1.0,0.8265329835788637,0.8597824113113388
max,1.0,0.9296005237772316,0.9621124478854615
