,SSIM_5_to_5,SSIM_5_to_8,SSIM_5_to_11
count,200.0,200.0,200.0
mean,1.0,0.7850231876750858,0.8117643544352794
std,0.0,0.04597074196821969,0.04681703467742601
min,1.0,0.5744811105476875,0.5937061975451992
25%,1.0,0.757741780419456,0.7836862693909856
50%,1.0,0.7824218470814213,0.8150277983864913
75%,1.0,0.811106991607188,0.8431921516317908
max,1.0,0.9042912260758841,0.9206437820167028
